序号	一级分类	表	列名	字段类型	数据来源	备注
1	数据管理	博主库	联系人	源数据	人工	-
2	数据管理	博主库	小红书昵称	源数据	人工	-
3	数据管理	博主库	小红书ID	源数据	人工	-
4	数据管理	博主库	邮箱(联系上的可不填)	源数据	人工	-
5	数据管理	博主库	微信号	源数据	人工	-
6	数据管理	博主库	报价	源数据	人工	-
7	数据管理	博主库	粉丝量	爬虫	影刀	每天增量更新到固定文件夹
8	数据管理	博主库	3篇阅读量	爬虫	影刀	每天增量更新到固定文件夹
9	数据管理	博主库	3篇点赞数	爬虫	影刀	每天增量更新到固定文件夹
10	数据管理	博主库	3篇收藏数	爬虫	影刀	每天增量更新到固定文件夹
11	数据管理	博主库	3篇评论数	爬虫	影刀	每天增量更新到固定文件夹
12	数据管理	博主库	7篇阅读量	爬虫	影刀	每天增量更新到固定文件夹
13	数据管理	博主库	7篇点赞数	爬虫	影刀	每天增量更新到固定文件夹
14	数据管理	博主库	7篇收藏数	爬虫	影刀	每天增量更新到固定文件夹
15	数据管理	博主库	7篇评论数	爬虫	影刀	每天增量更新到固定文件夹
16	数据管理	博主库	14篇阅读量	爬虫	影刀	每天增量更新到固定文件夹
17	数据管理	博主库	14篇点赞数	爬虫	影刀	每天增量更新到固定文件夹
18	数据管理	博主库	14篇收藏数	爬虫	影刀	每天增量更新到固定文件夹
19	数据管理	博主库	14篇评论数	爬虫	影刀	每天增量更新到固定文件夹
20	数据管理	博主库	阅读点赞比	指标	3+7+14的点赞/阅读	-
21	数据管理	博主库	收藏赞比	指标	3+7+14的收藏/点赞	-
22	数据管理	博主库	近期数据涨的博主	指标	3-7-14的趋势，单边上涨为涨，单边下跌为跌，其他为波动	-
23	数据管理	博主库	是否假号	指标	阅读点赞比超过10%为True	-
24	数据管理	博主库	活跃粉丝数	爬虫	影刀	每天增量更新到固定文件夹
25	数据管理	博主库	阅读粉丝数	爬虫	影刀	每天增量更新到固定文件夹
